word,rank,neighbor_before,cosine_similarity_before,neighbor_after,cosine_similarity_after
cast,1,casts,0.7218878865242004,casting,0.596542239189148
cast,2,casting,0.7188456058502197,actors,0.5421767234802246
cast,3,Cast,0.6638122200965881,performances,0.535078763961792
score,1,scoring,0.71968013048172,soundtrack,0.7066224217414856
score,2,scores,0.659572422504425,cinematography,0.6183449625968933
score,3,scored,0.6384159326553345,nicolai,0.6005954146385193
plot,1,plots,0.7624845504760742,storyline,0.7729618549346924
plot,2,Plot,0.6524182558059692,plots,0.6389049887657166
plot,3,plotting,0.6327632069587708,story,0.6384655237197876
screen,1,screens,0.7728806734085083,screens,0.520317018032074
screen,2,onscreen,0.6115447282791138,stage,0.43914562463760376
screen,3,LCD_screen,0.5599320530891418,occasion,0.3922131359577179
review,1,reviewed,0.6630409359931946,comment,0.7041688561439514
review,2,reviewing,0.6609557271003723,reviews,0.6431996822357178
review,3,reviews,0.6379557251930237,comments,0.6403337717056274
